Dados
41
9
36
6
1
19
56
53
55
25
25
20
47
16
60
60
10
37
5
25
49
9
17
1
56
50
44
60
14
38
56
43
5
15
21
13
22
55
16
3
38
24
2
47
30
32
35
47
33
57
23
58
42
5
29
51
27
30
28
38
59
52
26
8
20
15
47
53
56
40
53
19
57
2
36
33
29
22
43
51
47
51
24
10
47
54
40
45
59
21
60
5
22
28
46
4
56
43
30
46
39
44
9
13
3
24
2
60
54
57
52
37
34
47
6
36
53
22
47
46
53
20
13
52
56
32
59
23
46
13
30
44
19
60
35
17
26
41
26
55
10
20
40
8
43
51
24
32
11
50
3
12
47
8
12
52
17
58
16
13
25
23
41
4
39
60
1
45
52
7
54
49
29
11
10
28
35
5
6
39
33
46
16
9
59
24
6
34
41
32
58
1
12
32
17
32
19
40
52
12
55
49
11
31
26
20
19
23
13
37
10
29
3
30
7
35
27
54
26
36
54
5
28
20
21
2
37
16
39
56
16
29
45
15
29
10
36
15
33
59
11
22
20
19
44
2
34
56
21
55
34
17
12
4
32
21
28
12
20
43
5
53
8
5
7
38
58
21
19
45
14
36
47
11
16
53
40
22
31
5
11
33
48
8
50
44
60
50
36
57
22
24
6
28
24
20
20
22
7
27
58
25
7
42
11
30
26
55
39
28
32
14
14
5
50
28
27
19
12
20
11
18
31
22
4
52
46
51
24
2
27
28
35
41
43
2
31
48
13
10
56
29
4
33
56
56
26
39
9
23
15
49
60
40
2
54
45
40
31
47
41
37
39
59
52
6
52
13
21
51
23
24
31
54
51
25
46
55
41
47
9
54
48
28
22
39
29
52
46
7
7
49
12
15
11
47
32
28
59
29
50
27
46
24
57
47
49
49
26
31
10
45
35
35
38
13
25
45
41
43
38
60
8
29
6
7
51
60
55
50
58
50
36
24
37
1
54
38
42
46
2
15
11
48
31
11
24
5
34
59
23
54
58
4
50
17
48
43
43
19
30
27
7
6
46
28
38
23
29
51
51
12
51
34
19
38
47
30
20
36
42
13
16
53
38
50
25
30
28
5
22
57
54
28
36
41
9
49
59
35
34
50
10
39
47
31
44
46
32
30
8
8
46
15
39
24
51
44
9
32
28
49
45
47
26
3
17
34
56
32
3
13
27
48
49
14
37
45
16
22
58
49
35
11
43
46
4
51
13
17
56
22
43
47
49
8
18
59
53
32
39
37
34
38
31
17
57
25
32
35
14
33
59
32
18
18
